movie_title,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
The Angry Birds Movie 2,41667116,3869,10354073,2019/08/13,5.4,96,65000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawl,39014193,3170,12005210,2019/07/12,5.8,95,17000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Intruder,35419122,2231,10855054,2019/05/3,6.0,95,8000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Hustle,35417038,3077,13007709,2019/05/10,4.4,94,21000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Christmas,35150750,3454,11441055,2019/11/8,5.3,102,30000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Overcomer,34746945,2293,8146533,2019/08/23,4.5,124,5000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jojo Rabbit,33370906,1173,349555,2019/11/8,7.2,108,14000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cold Pursuit,32138862,2630,11030233,2019/02/8,5.2,118,60000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bombshell,31762808,1721,319157,2019/12/20,6.2,108,32000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Doctor Sleep,31581712,3855,14114124,2019/11/8,6.3,151,45000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Dragon Ball Super: Broly,30712119,1267,9816197,2019/01/16,6.6,100,8500000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Long Shot,30316271,3230,9740064,2019/05/3,6.3,39,40000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Child's Play,29208403,3007,14094594,2019/06/21,5.0,90,9000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ready or Not,28714231,2998,8015590,2019/08/21,6.0,95,6000000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
21 Bridges,28539757,2665,9261268,2019/11/22,5.9,99,33000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Happy Death Day 2U,28148130,3212,9497665,2019/02/13,5.1,100,9000000,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
Midsommar,27426361,2707,6560030,2019/07/3,6.3,145,9000000,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
The Art of Racing in the Rain,26395642,2765,8137584,2019/08/9,6.4,109,18000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Countdown,25621766,2675,8865082,2019/10/25,4.6,90,6500000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
On the Basis of Sex,24622687,1957,686355,2019/01/11,6.4,120,20000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fighting with My Family,22958886,2855,138780,2019/02/22,6.1,108,11000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Booksmart,22680962,2518,6933620,2019/05/24,6.2,102,6000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuber,22370452,3050,8225384,2019/07/12,5.1,93,16000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Jewell,22345542,2502,4705265,2019/12/13,7.1,131,45000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47 Meters Down: Uncaged,22260900,2883,8427265,2019/08/16,4.3,89,12000000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hellboy,21903748,3303,12045147,2019/04/12,4.7,120,60000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shaft,21360215,2952,8901419,2019/06/14,6.0,100,53012938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Peanut Butter Falcon,20457151,1490,204793,2019/08/23,6.4,97,6200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UglyDolls,20150241,3652,8603407,2019/05/3,4.8,87,45000000,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Unplanned,19005109,1516,6382298,2019/03/29,5.5,106,6000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Charlie's Angels,17803077,3452,8351109,2019/11/15,3.9,118,90000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Farewell,17695781,891,355662,2019/08/9,6.7,95,3000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brightburn,17300439,2607,7845658,2019/05/24,5.6,90,7000000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Good Liar,17156058,2454,5605051,2019/11/15,5.9,109,10000000,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
