id,movie_title,twitter_neg,twitter_pos,twitter_neu,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
762,The Nutcracker and the Four Realms,0.0,0.0,0.0,54858851,3766,20352491,2018/11/2,4.9,99,132900000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
763,Tag,0.0,24.0,2880.0,54730625,3382,14947396,2018/06/15,5.3,100,28000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,A Simple Favor,11.0,217.0,1243.0,53548586,3102,16011689,2018/09/14,5.7,117,20000000,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
765,The Predator,5.0,5.0,1458.0,51024708,4070,24632284,2018/09/14,4.3,101,88000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
766,Overboard,5.0,28.0,1442.0,50316123,2006,14711101,2018/05/4,5.4,106,12000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,Sicario: Day of the Soldado,0.0,2.0,1465.0,50072235,3055,19007566,2018/06/29,6.4,122,35000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
768,BlacKkKlansman,5.0,26.0,1454.0,49275340,1914,10845330,2018/08/10,6.5,128,15000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
769,I Feel Pretty,8.0,137.0,1331.0,48795601,3440,16030218,2018/04/20,4.9,110,32000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,Vice,1.0,12.0,1455.0,47836282,2534,7768371,2018/12/25,6.8,132,60000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
771,Red Sparrow,11.0,15.0,1447.0,46874505,3064,16853422,2018/03/2,6.4,134,69000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
772,Breaking In,22.0,4.0,1457.0,46840590,2537,17630285,2018/05/11,4.6,88,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
773,12 Strong,2.0,203.0,1270.0,45819713,3018,15815025,2018/01/19,5.4,130,35000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
774,Den of Thieves,102.0,45.0,1323.0,44947622,2432,15206108,2018/01/19,5.9,140,30000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
775,First Man,0.0,5.0,1459.0,44936545,3640,16006065,2018/10/12,6.6,102,60000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
776,Hereditary,29.0,17.0,1429.0,44069456,2998,13575172,2018/06/8,6.6,126,10000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
777,Acrimony,23.0,52.0,1399.0,43549096,2006,17170707,2018/03/30,5.5,120,20000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
778,Sherlock Gnomes,3.0,7.0,1417.0,43242871,3662,10604774,2018/03/23,4.7,86,59000000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
779,Uncle Drew,2.0,30.0,1452.0,42469946,2742,15242781,2018/06/29,4.8,103,18000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,Widows,7.0,31.0,1438.0,42402632,2803,12361307,2018/11/16,6.1,128,40000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
781,Second Act,3.0,12.0,1431.0,39282227,2607,6489983,2018/12/21,4.5,103,15700000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
782,The Commuter,0.0,13.0,1462.0,36343858,2892,13701452,2018/01/12,5.6,105,40000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
783,The 15:17 to Paris,0.0,0.0,24.0,36276286,3042,12554286,2018/02/9,4.8,94,30000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
784,Mile 22,6.0,15.0,1405.0,36108758,3520,13710825,2018/08/17,5.4,95,35000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
785,Alpha,2.0,13.0,1464.0,35857181,2881,10352512,2018/08/17,5.3,96,51000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,The Favourite,0.0,6.0,1464.0,34366783,1554,422410,2018/12/21,7.1,121,15000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
787,Death Wish,135.0,53.0,1270.0,34017028,2882,13010267,2018/03/2,5.7,93,30000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,The Spy Who Dumped Me,1.0,11.0,1447.0,33562069,3111,12103043,2018/08/3,4.7,116,40000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,Annihilation,7.0,20.0,1454.0,32732301,2112,11071584,2018/02/23,6.0,115,55000000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
790,Robin Hood,1.0,7.0,1444.0,30824628,2827,9195670,2018/11/21,6.1,131,210000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,Super Troopers 2,2.0,264.0,1218.0,30617396,2125,15181624,2018/04/20,4.0,99,13500000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,Holmes & Watson,0.0,0.0,0.0,30573626,2780,7411522,2018/12/25,6.6,128,42000000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
793,Slender Man,27.0,6.0,1445.0,30569484,2358,11371866,2018/08/10,3.0,93,10000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
794,Hostiles,20.0,15.0,1426.0,29819114,2934,22849,2018/01/26,6.6,133,50000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
