,movie_title,metacritic_pos,metacritic_neg,metacritic_neu,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
157,Mama,37.0,4.0,9.0,71628180,2781,28402310,2013/01/18,5.5,5,15000000,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
158,Safe Haven,51.0,9.0,4.0,71349120,3223,21401594,2013/02/14,5.3,115,28000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
159,The Smurfs 2,33.0,32.0,4.0,71017784,3867,17548389,2013/07/31,4.6,105,110000000,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
160,The Best Man Holiday,24.0,8.0,2.0,70525195,2041,30107555,2013/11/15,4.8,123,17000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Percy Jackson: Sea of Monsters,59.0,44.0,6.0,68559554,3080,14401054,2013/08/7,4.7,106,90000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,A Good Day to Die Hard,48.0,89.0,4.0,67349198,3555,24834845,2013/02/14,4.5,101,92000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
163,Warm Bodies,121.0,18.0,0.0,66380662,3009,20353967,2013/02/1,5.2,98,30000000,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
164,Jack the Giant Slayer,0.0,0.0,0.0,65187603,3525,27202226,2013/03/1,5.3,114,195000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,The Purge,0.0,0.0,0.0,64473115,2591,34058360,2013/06/7,5.1,86,3000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
166,Last Vegas,56.0,11.0,2.0,63914167,3237,16334566,2013/11/1,5.2,101,28000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
167,Ender's Game,84.0,48.0,7.0,61737191,3407,27017351,2013/11/1,5.9,114,110000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
168,Prisoners,99.0,46.0,6.0,61002302,3290,20817053,2013/09/20,7.6,153,46000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
169,After Earth,70.0,65.0,6.0,60522097,3401,27520040,2013/05/31,4.2,100,130000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,The Secret Life of Walter Mitty,115.0,9.0,12.0,58236838,2922,12765508,2013/12/25,6.3,110,91000000,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
171,Escape from Planet Earth,34.0,9.0,1.0,57012977,3353,15891055,2013/02/15,5.2,89,40000000,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
172,12 Years a Slave,91.0,56.0,6.0,56671993,1474,923715,2013/11/8,7.3,133,20000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
173,Free Birds,51.0,14.0,6.0,55750480,3736,15805237,2013/11/1,4.8,91,55000000,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
174,Hansel & Gretel: Witch Hunters,63.0,46.0,5.0,55703475,3375,19690956,2013/01/25,4.7,88,50000000,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
175,Evil Dead,26.0,26.0,4.0,54239856,3025,25775847,2013/04/5,5.8,91,17000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
176,RED 2,61.0,19.0,6.0,53262560,3016,18048422,2013/07/19,5.4,116,84000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,The Call,0.0,0.0,0.0,51872378,2507,17118745,2013/03/15,5.9,4,12800000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Pain & Gain,0.0,0.0,0.0,49875291,3303,20244505,2013/04/26,5.8,129,26000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Gangster Squad,93.0,30.0,2.0,46000903,3103,17070347,2013/01/11,5.9,113,60000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180,The Internship,90.0,24.0,5.0,44672764,3399,17325307,2013/06/7,5.1,119,58000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Snitch,50.0,22.0,2.0,42930462,2511,13167607,2013/02/22,5.6,112,15000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
182,Riddick,91.0,37.0,2.0,42025135,3117,19030375,2013/09/6,5.2,113,38000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,A Haunted House,0.0,0.0,0.0,40041683,2160,18101682,2013/01/11,3.5,86,2500000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
184,47 Ronin,85.0,27.0,7.0,38362475,2690,9910310,2013/12/25,7.3,207,175000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,Philomena,77.0,10.0,4.0,37709979,1225,128435,2013/11/27,6.7,98,12000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
186,Carrie,23.0,6.0,1.0,35266619,3157,16101552,2013/10/18,5.0,100,30000000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
187,R.I.P.D.,52.0,36.0,8.0,33618855,2852,12691415,2013/07/19,4.4,92,130000000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,Blue Jasmine,106.0,26.0,4.0,33405481,1283,612064,2013/08/23,6.8,98,18000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189,Kevin Hart: Let Me Explain,26.0,2.0,1.0,32244051,892,10030463,2013/07/3,5.7,75,2500000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Side Effects,88.0,30.0,3.0,32172757,2605,9303145,2013/02/8,3.7,90,30000000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,The Mortal Instruments: City of Bones,84.0,25.0,10.0,31165421,3118,9336957,2013/08/21,4.3,130,60000000,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
192,Grudge Match,35.0,15.0,2.0,29807260,2856,7021993,2013/12/25,5.3,113,40000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,One Direction: This Is Us,39.0,11.0,9.0,28873374,2735,15815497,2013/08/30,4.3,92,10000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Kick-Ass 2,78.0,46.0,8.0,28795985,2945,13332955,2013/08/16,6.0,103,28000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Dallas Buyers Club,112.0,17.0,8.0,27298285,1110,260865,2013/11/22,7.5,117,5000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196,Rush,121.0,13.0,7.0,26947624,2308,187289,2013/09/27,7.2,123,38000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
197,The World's End,78.0,46.0,12.0,26004851,1553,8811790,2013/08/23,6.1,106,20000000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
198,Escape Plan,57.0,11.0,6.0,25135965,2883,9885732,2013/10/18,5.1,105,70000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
199,Don Jon,92.0,14.0,7.0,24477704,2422,8677009,2013/09/27,5.7,88,5500000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,The Incredible Burt Wonderstone,0.0,0.0,0.0,22537881,3160,10177257,2013/03/15,5.2,100,32000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,The Big Wedding,0.0,0.0,0.0,21819348,2633,7591663,2013/04/26,4.5,90,32500000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
202,Mud,41.0,18.0,6.0,21590086,960,2215891,2013/05/10,6.8,130,10000000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
203,Baggage Claim,19.0,8.0,5.0,21569509,2230,9031102,2013/09/27,4.0,96,8500000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,The Way Way Back,53.0,18.0,3.0,21506546,1001,552788,2013/07/26,6.3,103,5000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
205,The Book Thief,48.0,24.0,5.0,21488481,1316,105005,2013/11/27,6.6,131,19000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
206,The Place Beyond the Pines,111.0,22.0,7.0,21403519,1584,279457,2013/04/19,6.5,135,15000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
207,Homefront,28.0,19.0,4.0,20158898,2570,6915241,2013/11/27,5.4,100,22000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
208,Broken City,39.0,32.0,6.0,19701164,2622,8268908,2013/01/18,5.3,109,35000000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
209,Beautiful Creatures,65.0,7.0,7.0,19452138,2950,7582595,2013/02/14,5.1,95,50000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,Runner Runner,0.0,0.0,0.0,19316646,3026,7706712,2013/10/4,8.1,117,30000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211,The Impossible,139.0,10.0,7.0,19019882,886,143818,2013/01/11,6.8,107,40000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,You're Next,66.0,38.0,4.0,18494006,2437,7020196,2013/08/23,5.8,96,1000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
213,Quartet,36.0,4.0,5.0,18390117,725,47122,2013/03/1,6.0,95,11000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,Admission,34.0,20.0,6.0,18007317,2161,6154984,2013/03/22,4.5,117,13000000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
215,Parker,36.0,28.0,6.0,17616641,2238,7008222,2013/01/25,5.3,118,35000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
216,Enough Said,71.0,7.0,1.0,17550872,835,232800,2013/10/11,6.2,92,8000000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
217,Dark Skies,38.0,31.0,1.0,17418667,2313,8189166,2013/02/22,5.5,95,3500000,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
218,The Counselor,73.0,57.0,8.0,16973715,3044,7842930,2013/10/25,4.7,113,25000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219,Jobs,0.0,0.0,0.0,16131410,2381,6713900,2013/08/16,5.2,122,18000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,Fruitvale Station,0.0,0.0,0.0,16101339,1086,386291,2013/07/26,6.4,90,900000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
221,About Time,75.0,8.0,7.0,15322921,1280,1076250,2013/11/8,7.0,123,12000000,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
222,The Last Exorcism Part II,22.0,16.0,2.0,15179302,2700,7728354,2013/03/1,3.4,90,4000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
223,Spring Breakers,89.0,40.0,8.0,14124284,1379,263002,2013/03/22,4.9,94,5000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
224,Out of the Furnace,53.0,28.0,10.0,11330849,2101,5220288,2013/12/6,6.4,116,22000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
225,Dead Man Down,27.0,22.0,9.0,10895295,2188,5345250,2013/03/8,5.7,110,30000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
226,Bullet to the Head,42.0,19.0,7.0,9489829,2404,4548201,2013/02/1,5.0,91,55000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227,Peeples,24.0,8.0,2.0,9177065,2041,4611534,2013/05/10,4.2,95,11000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Battle of the Year,14.0,15.0,2.0,8888355,2008,4603177,2013/09/20,4.4,109,20000000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
229,Movie 43,54.0,65.0,4.0,8840453,2023,4805878,2013/01/25,4.1,90,10000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Mandela: Long Walk to Freedom,27.0,10.0,6.0,8323085,1010,84283,2013/12/25,6.3,139,35000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
231,Machete Kills,35.0,33.0,4.0,8008161,2538,3837183,2013/10/11,4.6,107,20000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
232,Promised Land,39.0,16.0,3.0,7597898,1676,173915,2013/01/4,6.0,106,15000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233,Paranoia,25.0,17.0,7.0,7388654,2459,3528376,2013/08/16,4.7,106,40000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
234,Black Nativity,24.0,3.0,5.0,7018189,1525,3669530,2013/11/27,4.4,93,17500000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
235,The Spectacular Now,88.0,8.0,2.0,6854611,770,197415,2013/09/13,6.2,95,2500000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
236,The Company You Keep,44.0,8.0,3.0,5133027,807,131718,2013/04/26,5.5,125,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
237,The Fifth Estate,40.0,14.0,7.0,3255008,1769,1673351,2013/10/18,5.4,124,26000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
238,Phantom,0.0,0.0,0.0,1034589,1118,508000,2013/03/1,6.2,130,18000000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
239,Guardians of the Galaxy,123.0,25.0,5.0,333176600,4088,94320883,2014/08/1,6.9,118,170000000,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
240,Captain America: The Winter Soldier,133.0,9.0,4.0,259766572,3938,95023721,2014/04/4,6.6,136,170000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
241,The Lego Movie,122.0,13.0,6.0,257760692,3890,69050279,2014/02/7,6.7,100,60000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,The Hobbit: The Battle of the Five Armies,90.0,49.0,4.0,255119788,3875,54724334,2014/12/17,6.3,144,250000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,Transformers: Age of Extinction,0.0,0.0,0.0,245439076,4233,100038390,2014/06/27,4.5,165,210000000,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
244,Maleficent,111.0,27.0,6.0,241410378,3948,69431298,2014/05/30,6.0,97,180000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
245,X-Men: Days of Future Past,126.0,8.0,6.0,233921534,4001,90823660,2014/05/23,6.9,130,200000000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
246,Big Hero 6,123.0,11.0,5.0,222527828,3773,56215889,2014/11/7,7.0,108,165000000,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
247,Dawn of the Planet of the Apes,118.0,16.0,10.0,208545589,3969,72611427,2014/07/11,6.6,130,170000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
248,The Amazing Spider-Man 2,112.0,28.0,9.0,202853933,4324,91608337,2014/05/2,5.7,142,200000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,Godzilla,95.0,47.0,6.0,200676069,3952,93188384,2014/05/16,5.0,123,160000000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
250,22 Jump Street,131.0,8.0,6.0,191719337,3426,57071445,2014/06/13,5.3,120,50000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Teenage Mutant Ninja Turtles,0.0,0.0,0.0,191204754,3980,65575105,2014/08/8,4.8,101,125000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
252,Interstellar,116.0,22.0,7.0,188020017,3561,47510360,2014/11/7,7.9,169,165000000,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
253,How to Train Your Dragon 2,126.0,14.0,5.0,177002924,4268,49451322,2014/06/13,6.9,102,145000000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,Gone Girl,101.0,41.0,5.0,167767189,3284,37513109,2014/10/3,7.3,149,61000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
255,Divergent,94.0,36.0,8.0,150947895,3936,54607747,2014/03/21,5.5,140,85000000,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
256,Neighbors,0.0,0.0,0.0,150157400,3311,49033915,2014/05/9,5.1,96,18000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Ride Along,0.0,0.0,0.0,134938200,2867,41516170,2014/01/17,4.7,100,25000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
